author,username,retweet_count,tweets,created_at,type
adiorshua,dkyoemi,6,"RT @adiorshua: DANUSAN KOLEKSI PRIBADI ADIORSHUA [all about BTS] 

-Only Via Shopee event kembar ato tanggal 25
-Condi gak 100% mulus, soal…",2021-12-06 04:59:52,retweeted
NouvalMie,Hazizah91591589,1,"RT @NouvalMie: @BTS_twt_JHOSEOK @BTS_twt Terimakasih juga karena sudah memberi kenangan indah
Love u too HOBI 💜💜💜💜💜💜💜 https://t.co/3NGzM4qs…",2021-12-06 04:59:41,retweeted
ipurpleagustd,BEmy_Vante7,30,"RT @ipurpleagustd: 📸| FOTOS BTS VOGUE 

—AYUDAAAAAA 

@BTS_twt https://t.co/TX5BF48C8j",2021-12-06 04:59:36,retweeted
manjiiro,jerapzah,0,"@manjiiro sini kk

hai @jxhyuno ada layout ulzzang, IU, sohee, nct dream, enhypen, nct127, BTS, redvelvet, aespa, itzy, blackpink, dan IVE ready stock dan BISA REQ juga loh😍🌈✨ price?start 2k aja yuu💵✅
catalog : https://t.co/0o2dRYsqli https://t.co/GlDvctadLW",2021-12-06 04:59:35,replied_to
,putriauri93,0,"Rest well sayang sayangnya aku 
#BTS https://t.co/813d8h3LJ9",2021-12-06 04:59:31,
italianarmyfam_,MentshP,12,RT @italianarmyfam_: ©philiphengg 💜💜 congratulazioni 😂 @BTS_twt #PreciousFlowerJin https://t.co/M50RSbSvtR,2021-12-06 04:59:31,retweeted
Bts_ungie,ggonejjk_,0,@Bts_ungie kenapa,2021-12-06 04:59:30,replied_to
KimYuchan2,SeuzofZeuz,1,"RT @KimYuchan2: Skuy lah ngevote bangtan. Biar menang vote.

#bts #BTS #MAMAVOTE",2021-12-06 04:59:27,retweeted
,Jinniya_9,0,Ga sabar nunggu bts cb krn jujur kangen 😭😭,2021-12-06 04:59:27,
nanaxlr1,nryttttt,72,"RT @nanaxlr1: Welcome back to korea seokjin, jimin and jungkook!! @BTS_twt https://t.co/WtzzmVU3ZW",2021-12-06 04:59:25,retweeted
akuwongbejo,SeuzofZeuz,1,"RT @akuwongbejo: Nyicil 
#MAMAVOTE #bts https://t.co/5eRaUPnMmg",2021-12-06 04:59:24,retweeted
7btsupdates,xlinalbbbh,76,"RT @7btsupdates: Empat anggota lainnya - RM, Suga, V dan J-hope - dilaporkan tinggal di US untuk memiliki waktu pribadi. Big Hit tidak meny…",2021-12-06 04:59:22,retweeted
