author,username,retweet_count,tweets,created_at,type
,TSCWALISONGO,0,"Bravo Olahraga!
Selamat dan sukses atas perolehan medali dari pahlawan-pahlawan Indonesia yang berlaga di Paralympics Tokyo 2020. Semoga ini bisa menjadi pelecut semangat bagi kalian agar bisa memperoleh juara dibidang masing-masing
#tscuinws #olahraga #paralympicstokyo2020 https://t.co/qOZZPP6tnA",2021-12-06 03:40:00,
unisbaofficial,seputaran_bdg,1,RT @unisbaofficial: Komhumas; Kontingen Unisba dari cabang olahraga pencak silat berhasil memboyong enam penghargaan sekaligus https://t.co…,2021-12-06 03:38:48,retweeted
ridwanhr,bisaajaham,3,RT @ridwanhr: Galau umur 24 belum jadi juara dunia 😂,2021-12-06 03:38:26,retweeted
,Bolabulet_,0,Arsene Wenger memberikan pendapatnya mengenai anggapan bahwa Arsenal punya peluang besar juara musim ini. Arsenal disebut telah memiliki mental juara musim ini.,2021-12-06 03:38:13,
RudyRoedyanto,rararaaaas,0,@RudyRoedyanto Ini sih bau2 takut atletnya minta juga secara angkat besi ini atletnya juga sering juara kan kaya mas eko di Olimpiade kmren. Susah sih klo pengurusnya aja mikir gini gmna mau sejahtera atletnya. Dan susah bakalan maju olahraga diindonesia klo petingginya banyak yg mikir gini.,2021-12-06 03:37:57,replied_to
GintingNovalina,shintensin,0,"@GintingNovalina kayaknya jgn ngerendahin atlet lain jg deh. mereka jg mau kali juara.. tp jgn sampe ada kata ""ga bisa di andalkan"" gitu",2021-12-06 03:37:56,replied_to
P_Gun77,winda_putri99,170,RT @P_Gun77: Selamat Putri Kusuma Wardani juara #BangladeshIC 👏👏👏 https://t.co/7m9TmPhnPS,2021-12-06 03:37:43,retweeted
desnaiqyuet,kpopers_bl,0,"@desnaiqyuet @BadmintonTalk Intanon jg dlu juara dunia masih umur 18 tahun, ngalahin Li Xurei tahun 2013",2021-12-06 03:37:43,replied_to
,dqmulia,0,"Alhamdulillaah, Baarakallah

Tim SMAIT DQ Mendapat Juara III Essay &amp; Poster Competition Tingkat Internasional &amp; Predikat Presenter Terbaik

Dalam Kompetisi Ilmiah ""Youth Innovation for Future's Energy"", Subtema ""Renewable Energy for SDG’s 2030"", UPSTREAM 2021, Pertamina Univ… https://t.co/0MWjUddS90",2021-12-06 03:37:42,
,AdieBlue99,0,"jangan lengah bos Ralf Rangnick..
jalan masih panjang untuk menjadi Kuat dan Hebat..kemudian Juara 🥉 

#GGMU 💪 https://t.co/xjZFGekP3m",2021-12-06 03:37:07,
